artist,song,e_label,v_label
Britney Spears,Oops!...I Did It Again,2.0,2.0
blink-182,All The Small Things,2.0,2.0
Faith Hill,Breathe,1.0,0.0
Bon Jovi,It's My Life,2.0,1.0
*NSYNC,Bye Bye Bye,2.0,2.0
Sisqo,Thong Song,2.0,2.0
Eminem,The Real Slim Shady,1.0,2.0
Robbie Williams,Rock DJ,2.0,2.0
Destiny's Child,Say My Name,2.0,2.0
Modjo,Lady - Hear Me Tonight,2.0,2.0
Gigi D'Agostino,L'Amour Toujours,2.0,2.0
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,2.0,2.0
Bomfunk MC's,Freestyler,2.0,1.0
Sting,Desert Rose,1.0,0.0
Melanie C,Never Be The Same Again,2.0,1.0
Aaliyah,Try Again,1.0,2.0
Anastacia,I'm Outta Love - Radio Edit,2.0,1.0
Alice Deejay,Better Off Alone,2.0,2.0
Gigi D'Agostino,The Riddle,2.0,2.0
Dr. Dre,The Next Episode,2.0,0.0
Linkin Park,In the End,2.0,1.0
Tom Jones,Sexbomb,2.0,2.0
Sonique,It Feels So Good,2.0,1.0
M.O.P.,Cold as Ice,2.0,2.0
Melanie C,I Turn To You,2.0,0.0
Limp Bizkit,Take A Look Around,2.0,1.0
Darude,Sandstorm,2.0,1.0
Da Brat,What'chu Like (feat. Tyrese),2.0,2.0
Moloko,The Time Is Now,2.0,1.0
Chicane,Don't Give Up,2.0,1.0
DMX,Party Up,2.0,1.0
Debelah Morgan,Dance with Me,2.0,2.0
Madonna,Music,2.0,2.0
Ruff Endz,No More,1.0,2.0
Britney Spears,Born to Make You Happy,2.0,2.0
Montell Jordan,Get It On Tonite,1.0,2.0
Kylie Minogue,Spinning Around,1.0,1.0
JAY-Z,Big Pimpin',2.0,2.0
LeAnn Rimes,I Need You,2.0,1.0
Avant,Separated,1.0,1.0
Enrique Iglesias,Be With You,2.0,1.0
Toni Braxton,He Wasn't Man Enough,2.0,2.0
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,2.0,2.0
Dr. Dre,Forgot About Dre,2.0,1.0
Missy Elliott,Hot Boyz,1.0,1.0
Backstreet Boys,Show Me the Meaning of Being Lonely,1.0,2.0
Samantha Mumba,Gotta Tell You,1.0,2.0
Mýa,Case Of The Ex (Whatcha Gonna Do),2.0,1.0
Mary Mary,Shackles (Praise You),2.0,2.0
Next,Wifey,1.0,2.0
Janet Jackson,Doesn't Really Matter,2.0,2.0
Ricky Martin,She Bangs - English Version,2.0,2.0
Jagged Edge,He Can't Love U,2.0,1.0
Sisqo,Incomplete,1.0,0.0
JAY-Z,I Just Wanna Love U (Give It 2 Me),2.0,2.0
Mariah Carey,Thank God I Found You (feat. Joe & 98°),1.0,0.0
Baha Men,Who Let The Dogs Out,2.0,2.0
Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",1.0,2.0
LeAnn Rimes,Can't Fight The Moonlight,2.0,1.0
Oasis,Go Let It Out,2.0,1.0
DJ Ötzi,Hey Baby (Radio Mix),2.0,2.0
P!nk,Most Girls,2.0,2.0
Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),1.0,1.0
Craig David,Fill Me In,2.0,2.0
Christina Aguilera,I Turn to You,1.0,0.0
Madonna,American Pie,2.0,1.0
Red Hot Chili Peppers,Otherside,2.0,1.0
Sammie,I Like It,1.0,2.0
Craig David,7 Days,2.0,2.0
Santana,Maria Maria (feat. The Product G&B),1.0,2.0
Kandi,Don't Think I'm Not,1.0,1.0
P!nk,There You Go,2.0,2.0
Vengaboys,Shalala Lala,2.0,2.0
Ronan Keating,Life Is A Rollercoaster,2.0,2.0
Madison Avenue,Don't Call Me Baby,2.0,2.0
Destiny's Child,"Jumpin', Jumpin'",2.0,2.0
Céline Dion,That's the Way It Is,2.0,1.0
3 Doors Down,Kryptonite,2.0,1.0
Carl Thomas,I Wish,1.0,0.0
Mystikal,Shake Ya Ass,1.0,1.0
Fuel,Hemorrhage (In My Hands),2.0,0.0
Donell Jones,Where I Wanna Be,1.0,1.0
Savage Garden,Crash and Burn,1.0,0.0
Westlife,My Love,1.0,0.0
All Saints,Pure Shores,1.0,1.0
Destiny's Child,"Independent Women, Pt. 1",1.0,2.0
*NSYNC,It's Gonna Be Me,2.0,2.0
Erykah Badu,Bag Lady,1.0,1.0
Marc Anthony,You Sang To Me,2.0,2.0
Matchbox Twenty,Bent,2.0,1.0
Gabrielle,Rise,1.0,1.0
Backstreet Boys,Shape of My Heart,2.0,1.0
Creed,With Arms Wide Open,1.0,0.0
The Corrs,Breathless,2.0,2.0
Joe,I Wanna Know,1.0,1.0
Wheatus,Teenage Dirtbag,2.0,1.0
